RUN	Year	DeltaBV	Sel	Var	Beta	DeltaBVRecruits	SelRecruits	VarRecruits	BetaRecruits
1	0	0.961386	0.989374	5.99199	0.165116	2.39059	1.63041	5.99199	0.272098
1	1	3.01525	2.84698	6.9726	0.40831	3.07943	2.19514	5.64137	0.389114
1	2	1.94788	1.97381	7.02315	0.281043	1.50881	0.976611	5.87647	0.16619
1	3	1.1004	0.981885	5.7382	0.171114	0.936137	0.429043	3.99581	0.107373
1	4	2.38771	2.2649	6.44425	0.35146	2.48276	2.23179	5.41631	0.41205
1	5	1.01454	1.11242	9.65958	0.115162	0.818054	0.85754	9.31802	0.0920303
1	6	0.264925	0.608553	9.08738	0.0669669	0.592403	0.876294	8.23887	0.106361
1	7	1.86416	1.8318	8.65268	0.211704	0.868305	0.697671	6.31661	0.11045
1	8	1.31492	1.42165	8.59167	0.165469	1.64025	1.76679	10.2423	0.1725
2	0	0.624149	0.912897	7.07976	0.128945	2.23425	1.65557	7.07976	0.233845
2	1	1.32042	1.4564	6.25352	0.232892	-0.0415643	-0.404541	3.95471	-0.102293
2	2	2.00811	1.99572	5.8886	0.338911	3.52427	2.35663	5.72709	0.411489
2	3	2.95312	2.84858	7.93657	0.358918	1.75157	1.16337	3.84479	0.302582
2	4	0.645117	0.666307	5.81799	0.114525	0.291739	0.139971	4.51676	0.0309893
2	5	1.1633	1.06759	5.86662	0.181978	1.66292	1.50477	6.07429	0.247728
2	6	2.13567	2.10658	8.1745	0.257701	2.55808	2.32718	7.91984	0.293842
2	7	5.36866	5.21071	11.4182	0.456351	5.23537	4.64886	7.98435	0.582247
2	8	2.56734	2.52906	12.0005	0.210746	1.91919	1.80294	8.45937	0.21313
3	0	2.51952	2.35919	10.621	0.222125	3.2064	3.2246	10.621	0.303605
3	1	3.49744	3.21977	12.7485	0.252561	3.84825	3.1109	9.34824	0.33278
3	2	2.18047	2.07498	9.54512	0.217386	1.75016	1.45159	6.7608	0.214707
3	3	2.44339	2.43856	7.62526	0.3198	2.23799	2.10594	5.9514	0.353856
3	4	1.97423	1.99507	8.10367	0.246194	2.25526	2.26384	7.69014	0.294381
3	5	0.582557	0.615433	13.5869	0.0452959	0.460882	0.482721	11.5181	0.0419097
3	6	1.40639	1.49695	11.0614	0.13533	3.16611	3.37066	9.9607	0.338396
3	7	1.56479	1.56687	13.221	0.118514	-0.962808	-0.998352	10.3777	-0.0962014
3	8	0.984604	1.06171	11.3531	0.0935169	1.66379	1.70587	13.1224	0.129997
4	0	2.85017	2.87119	8.87288	0.323591	4.71935	4.36272	8.87288	0.491692
4	1	1.15952	1.23313	12.3222	0.100074	0.680959	0.297658	7.85077	0.0379145
4	2	1.89396	1.82834	8.4534	0.216285	1.32557	0.981452	6.19964	0.158308
4	3	2.65874	2.44179	6.58904	0.370584	2.78816	2.17217	5.01077	0.433501
4	4	0.785979	0.752986	8.54818	0.0880872	0.149071	0.0423425	7.1261	0.00594189
4	5	0.0307238	0.0683571	7.35074	0.00929935	0.0799027	0.105508	6.80198	0.0155113
4	6	0.660197	0.702442	7.50483	0.0935987	0.981372	0.904477	7.27949	0.12425
4	7	1.24264	1.56665	8.16468	0.191882	1.53894	1.77371	7.49551	0.236636
4	8	1.63753	1.74747	7.3189	0.238761	0.923428	0.963595	5.65514	0.170393
5	0	2.04827	2.24779	7.28981	0.308347	4.37343	3.69706	7.28981	0.507155
5	1	2.16251	2.13281	9.78642	0.217935	1.16468	0.491502	6.46521	0.0760225
5	2	3.1608	3.169	6.45759	0.49074	2.57207	2.56754	5.22224	0.491656
5	3	3.44236	3.41178	8.26523	0.412787	3.84541	3.73224	7.17051	0.520498
5	4	0.894558	0.874893	12.4751	0.0701313	0.26427	0.15818	8.71803	0.018144
5	5	0.453958	0.462192	8.91002	0.0518733	0.537658	0.558506	7.82731	0.0713535
5	6	2.00378	2.10369	7.7576	0.271178	1.91191	2.06732	7.42949	0.278258
5	7	3.39254	3.25917	11.4049	0.285769	4.21832	4.03223	12.4826	0.323027
5	8	4.73162	4.66951	17.4206	0.268045	3.55446	3.49134	11.578	0.301549
6	0	-0.0182859	0.324035	5.47128	0.0592246	1.67412	1.46736	5.47128	0.268194
6	1	5.39752	5.26592	7.52934	0.699386	5.26302	4.08691	6.19231	0.659997
6	2	-0.114384	0.0370955	10.8037	0.00343361	-0.192438	-0.42989	6.90889	-0.0622227
6	3	2.58928	2.61548	8.95332	0.292124	2.21161	1.9118	7.02212	0.272254
6	4	3.02853	2.94964	9.65411	0.305532	3.00294	2.89907	9.19928	0.315141
6	5	1.16267	1.14159	14.1344	0.0807664	0.541551	0.511999	11.8041	0.0433747
6	6	0.560778	0.656547	10.7731	0.0609434	1.31175	1.38794	9.11849	0.152212
6	7	4.65726	4.60999	9.28971	0.496247	4.83102	4.76302	6.95175	0.685154
6	8	4.29497	4.05446	20.6659	0.19619	3.72478	3.45939	20.5224	0.168567
7	0	0.93895	1.11266	8.39266	0.132576	2.48407	2.30001	8.39266	0.27405
7	1	0.722457	0.664414	7.97694	0.0832918	0.514829	0.340624	9.113	0.0373778
7	2	4.30973	4.26364	9.57359	0.445355	5.20082	3.98446	16.327	0.24404
7	3	2.20766	2.2587	12.1321	0.186176	0.674344	0.337024	5.45103	0.0618275
7	4	2.26592	2.09198	7.89887	0.264846	2.8056	2.46851	7.68679	0.321136
7	5	1.69313	1.68813	13.12	0.128669	1.16424	1.1326	11.7679	0.0962445
7	6	1.10519	1.11459	12.3758	0.0900623	1.82417	1.78372	11.6074	0.153671
7	7	3.57458	3.85322	12.7126	0.303103	3.01693	3.39379	10.4773	0.323917
7	8	2.21446	2.22089	14.7856	0.150206	2.11782	2.01789	14.1338	0.14277
8	0	4.14257	4.24219	12.5384	0.338336	6.37307	5.79625	12.5384	0.462279
8	1	4.18564	4.36191	18.2827	0.238581	3.04241	2.89068	12.8806	0.224422
8	2	1.83176	1.84794	10.4871	0.176211	1.11312	1.06455	6.28801	0.169299
8	3	0.074907	0.0963123	8.59209	0.0112094	0.291139	0.178664	8.00179	0.022328
8	4	0.359015	0.374355	8.43782	0.0443664	0.32528	0.515606	7.85114	0.0656727
8	5	0.572092	0.571395	7.89944	0.0723336	-0.141936	-0.187346	9.43686	-0.0198526
8	6	-0.24724	-0.0827621	8.80591	-0.00939847	-0.347795	0.0910309	7.75249	0.0117421
8	7	1.70111	1.87222	8.01236	0.233667	2.72546	2.73638	8.20172	0.333635
8	8	1.23396	1.31597	10.6607	0.123442	0.661419	0.730352	10.2582	0.0711968
9	0	-0.779559	-0.538657	11.8754	-0.0453592	1.85233	1.27784	11.8754	0.107605
9	1	6.35727	6.28906	11.4924	0.547236	4.89455	4.51867	13.6206	0.331754
9	2	0.920022	0.901497	9.28269	0.0971159	0.712436	0.269919	6.27563	0.0430106
9	3	3.76497	3.79565	7.62112	0.498044	3.48837	3.24084	6.40307	0.506139
9	4	1.31523	1.35155	11.0858	0.121918	1.65566	1.58272	10.8015	0.146529
9	5	1.4779	1.45438	10.6389	0.136705	0.808175	0.771127	7.5916	0.101576
9	6	1.06687	0.980573	8.17199	0.119992	1.75654	1.60703	7.10439	0.226202
9	7	0.248947	0.325512	8.21427	0.0396276	-0.365262	-0.332443	6.83678	-0.0486257
9	8	-0.274924	-0.362182	7.40346	-0.0489207	-0.508403	-0.701032	7.13708	-0.0982239
10	0	0.177861	0.28351	8.3848	0.0338124	2.24537	2.13638	8.3848	0.254792
10	1	2.85473	2.66728	8.09095	0.329662	1.88984	0.835965	5.45267	0.153313
10	2	0.871282	1.00847	6.92273	0.145675	1.05677	0.539991	8.19138	0.0659218
10	3	-0.389775	-0.308787	8.34838	-0.0369876	-1.07185	-1.63361	6.35969	-0.256869
10	4	1.24485	1.32151	9.05784	0.145897	1.54747	1.22431	6.72567	0.182035
10	5	0.960313	0.975804	7.6887	0.126914	1.31674	0.996801	7.5509	0.132011
10	6	2.52443	2.50084	7.54113	0.331627	1.66955	1.33381	7.99844	0.166758
10	7	0.00921945	-0.331604	8.73717	-0.0379533	-0.962473	-1.47286	8.6354	-0.170561
10	8	-2.16659	-2.06237	7.65256	-0.269501	-0.484562	-1.08008	5.64845	-0.191217
11	0	2.11022	1.92985	6.88576	0.280268	3.70605	2.8303	6.88576	0.411037
11	1	5.15168	5.02636	9.29831	0.540567	4.69658	4.21094	8.3881	0.502013
11	2	1.31515	1.26568	12.8132	0.0987794	1.46084	1.11642	10.9232	0.102206
11	3	2.55079	2.53434	10.8508	0.233562	1.94003	1.76234	5.65897	0.311424
11	4	2.97207	2.88034	7.89615	0.364777	3.1269	3.01485	6.73619	0.447559
11	5	0.922125	0.904708	17.5606	0.0515191	1.11114	1.08914	16.5049	0.0659887
11	6	1.91061	1.91257	15.9294	0.120066	3.36816	3.27935	13.6264	0.240661
11	7	3.55837	3.57701	16.1125	0.222002	1.69517	1.67125	9.02094	0.185264
11	8	1.2064	1.07741	9.8578	0.109295	1.03856	0.898634	10.2578	0.0876048
12	0	2.40789	2.56051	10.2767	0.249156	4.36565	4.00784	10.2767	0.389992
12	1	3.4016	3.31492	12.6901	0.26122	2.68462	1.90376	9.63059	0.197678
12	2	2.41277	2.34152	7.97836	0.293485	1.88772	1.70199	6.7216	0.253213
12	3	1.19558	1.21216	7.64368	0.158583	1.09737	0.845699	5.34404	0.158251
12	4	0.88636	0.775328	6.53185	0.1187	0.899166	0.615108	5.7997	0.106058
12	5	0.735289	0.793468	6.87003	0.115497	0.408055	0.460602	5.27052	0.0873921
12	6	0.320016	0.418283	5.5433	0.0754573	0.485666	0.602217	5.56047	0.108303
12	7	0.695845	0.784633	6.72731	0.116634	0.859076	0.823938	7.54161	0.109252
12	8	2.03964	1.75325	7.30936	0.239864	1.73141	1.38532	6.71967	0.206159
13	0	1.93214	1.94112	10.7861	0.179965	3.95785	3.33004	10.7861	0.308733
13	1	2.17038	2.35485	10.5481	0.223248	1.41871	1.10882	6.61179	0.167704
13	2	3.41961	3.41461	9.808	0.348145	3.3244	3.13748	9.60865	0.326526
13	3	1.06358	1.19095	11.94	0.0997445	0.458765	0.376939	8.61288	0.0437645
13	4	1.62975	1.70062	10.1884	0.166917	1.98092	1.97406	8.52087	0.231673
13	5	0.800501	0.853297	11.1185	0.0767458	0.646534	0.704056	11.211	0.0628006
13	6	0.909359	0.974907	10.897	0.0894656	1.46186	1.39357	9.76125	0.142765
13	7	1.54073	1.37679	9.66558	0.142443	0.641177	0.246388	6.66204	0.0369838
13	8	0.21695	0.335144	6.84014	0.0489967	-0.137397	-0.0303075	5.48554	-0.00552498
14	0	-1.21232	-1.09273	7.42085	-0.147251	0.363921	0.335113	7.42085	0.0451584
14	1	0.899822	1.1028	9.30435	0.118525	0.755813	0.366434	7.31874	0.0500679
14	2	2.20832	2.32739	7.73895	0.300737	1.99347	1.44338	7.08223	0.203802
14	3	2.39179	2.40321	7.07739	0.339562	2.30288	1.65798	4.77824	0.346985
14	4	2.14252	2.02074	6.90884	0.292486	1.86985	1.42974	5.17681	0.276181
14	5	1.37867	1.33547	7.01147	0.19047	1.23943	1.09158	5.2864	0.206489
14	6	0.206279	0.132689	6.38691	0.0207752	0.342984	0.288443	5.53318	0.0521297
14	7	1.94989	1.93443	6.51572	0.296887	1.58483	1.3898	6.64335	0.209202
14	8	0.215004	0.263148	7.34904	0.0358071	0.0570363	-0.0914493	6.61865	-0.0138169
15	0	0.367698	0.544572	6.72887	0.0809307	2.55534	1.83668	6.72887	0.272955
15	1	4.34717	4.18336	7.32299	0.571264	3.12457	2.38345	4.35141	0.547741
15	2	2.7324	2.88607	6.40498	0.450598	3.3745	3.00433	6.42828	0.467361
15	3	4.41093	4.37947	11.4883	0.381212	3.94788	3.5733	10.4175	0.343011
15	4	2.06963	2.11494	14.0369	0.15067	1.61132	1.65901	11.4807	0.144504
15	5	1.03292	0.990602	12.5163	0.0791451	0.830663	0.78238	9.34577	0.0837149
15	6	0.37981	0.400863	10.4048	0.0385267	0.724529	0.793404	9.23166	0.0859439
15	7	0.522609	0.592549	10.8984	0.0543701	-0.0224696	-0.0209422	12.6189	-0.00165959
15	8	1.09832	1.01132	12.3303	0.0820188	0.720335	0.624276	12.5643	0.0496866
16	0	3.84536	4.03813	11.0195	0.366452	6.54411	5.88075	11.0195	0.533666
16	1	4.0478	4.06454	16.4185	0.247558	2.04785	1.81035	7.04951	0.256805
16	2	3.19246	2.99787	7.82363	0.383181	3.27262	2.99417	6.09853	0.490967
