RUN	Year	DeltaBV	Sel	Var	Beta	DeltaBVRecruits	SelRecruits	VarRecruits	BetaRecruits
1	0	1.04148	1.04148	5.99199	0.173812	2.13375	2.13375	5.99199	0.356101
1	1	1.77439	1.77439	4.6112	0.3848	1.172	1.172	2.88042	0.406886
1	2	0.605157	0.605157	1.4718	0.411169	0.27361	0.27361	0.809129	0.338153
1	3	0.276284	0.276284	0.569286	0.485317	0.166703	0.166703	0.490312	0.339993
1	4	0.110289	0.110289	0.301235	0.366124	0.033412	0.033412	0.249673	0.133823
1	5	-0.00491233	-0.00491233	0.194739	-0.0252252	-0.00417371	-0.00417371	0.130453	-0.0319941
1	6	-0.0664764	-0.0664764	0.100446	-0.661812	0.0150178	0.0150178	0.140896	0.106588
1	7	0.0356355	0.0356355	0.0676979	0.52639	-0.0268686	-0.0268686	0.00718848	-3.73773
1	8	-0.00633578	-0.00633578	0.00283454	-2.23521	0.00437116	0.00437116	0.00310971	1.40565
2	0	2.35183	2.35183	9.89035	0.237791	4.37165	4.37165	9.89035	0.442012
2	1	3.29626	3.29626	9.42877	0.349596	1.69216	1.69216	3.96362	0.426924
2	2	0.421468	0.421468	2.45514	0.171668	0.282292	0.282292	1.49259	0.189129
2	3	0.348883	0.348883	1.11766	0.312155	0.0666922	0.0666922	0.595068	0.112075
2	4	0.0247168	0.0247168	0.323903	0.0763092	0.0975332	0.0975332	0.254389	0.383401
2	5	0.0900372	0.0900372	0.151822	0.593044	0.00899071	0.00899071	0.0968003	0.092879
2	6	-0.0451195	-0.0451195	0.0812315	-0.555443	-0.00558903	-0.00558903	0.0597937	-0.0934719
2	7	0.0611557	0.0611557	0.0405248	1.50909	0.0315145	0.0315145	0.0349501	0.901698
2	8	0.00879124	0.00879124	0.0242966	0.36183	0.0135836	0.0135836	0.0247169	0.549569
3	0	3.39066	3.39066	9.37452	0.361689	5.00143	5.00143	9.37452	0.533513
3	1	1.9169	1.9169	9.76629	0.196278	0.617356	0.617356	2.42315	0.254774
3	2	0.301782	0.301782	1.21603	0.248171	0.0253008	0.0253008	0.440375	0.0574529
3	3	0.0825063	0.0825063	0.338153	0.243991	0.139158	0.139158	0.204494	0.6805
3	4	0.151425	0.151425	0.149948	1.00985	0.134616	0.134616	0.189575	0.710094
3	5	0.068089	0.068089	0.162249	0.419658	0.0423028	0.0423028	0.131733	0.321124
3	6	0.0888661	0.0888661	0.119212	0.745449	0.0199692	0.0199692	0.140018	0.142619
3	7	0.0245336	0.0245336	0.110445	0.222135	0.0560938	0.0560938	0.0802932	0.698612
3	8	0.0460396	0.0460396	0.0563507	0.817019	0.0435276	0.0435276	0.0478479	0.909708
4	0	2.28039	2.28039	10.8557	0.210064	4.07255	4.07255	10.8557	0.375152
4	1	1.55895	1.55895	9.76252	0.159687	-1.10721	-1.10721	8.91443	-0.124205
4	2	1.05043	1.05043	5.22944	0.200868	2.47218	2.47218	4.54322	0.544149
4	3	0.944292	0.944292	2.9692	0.318029	0.370334	0.370334	1.55637	0.237947
4	4	0.109263	0.109263	0.43717	0.249933	0.202636	0.202636	0.527526	0.384125
4	5	0.0724391	0.0724391	0.297417	0.243561	-0.0616885	-0.0616885	0.137509	-0.448616
4	6	-0.0465931	-0.0465931	0.10931	-0.426248	0.102125	0.102125	0.248737	0.410572
4	7	0.0755505	0.0755505	0.158121	0.477802	-0.072251	-0.072251	0.0821058	-0.879974
4	8	-0.0136113	-0.0136113	0.0489146	-0.278266	0.0692935	0.0692935	0.0733524	0.944666
