RUN	Year	DeltaBV	Sel	Var	Beta	DeltaBVRecruits	SelRecruits	VarRecruits	BetaRecruits
1	0	1.12184	1.10455	6.03979	0.18288	2.80889	1.74143	6.03979	0.288326
1	1	2.7119	2.60136	7.94772	0.327309	1.47597	0.989618	5.77962	0.171225
1	2	2.56606	2.5322	7.75454	0.326545	3.50128	2.94032	9.28651	0.316623
1	3	4.71489	4.26279	10.3957	0.410053	4.17256	3.39259	10.8047	0.313992
1	4	2.41325	2.25788	10.9555	0.206095	0.672499	0.908957	12.0812	0.0752376
1	5	1.20736	1.46771	10.8586	0.135166	0.814334	1.59608	21.3465	0.0747702
1	6	1.58079	1.73702	19.498	0.0890869	3.57268	3.18051	44.2845	0.07182
1	7	2.2981	2.58622	15.2903	0.169141	1.66715	1.70967	27.6677	0.0617927
1	8	1.82035	1.72568	8.11435	0.21267	1.73599	1.87048	7.89192	0.237013
1	9	0.533333	0.608099	7.24608	0.0839211	0.443426	0.287262	4.33682	0.0662379
2	0	-1.71125	-1.68112	10.6627	-0.157664	-0.327451	-0.981097	10.6627	-0.0920124
2	1	4.30275	4.23324	10.4584	0.404768	4.7482	3.85383	9.0949	0.423736
2	2	4.4801	4.45182	11.5561	0.385234	4.14985	3.39801	8.55813	0.39705
2	3	4.16451	3.97062	11.4856	0.345704	2.51142	1.91742	13.1547	0.145759
2	4	3.22399	3.54944	11.5696	0.306792	3.34918	3.59085	22.1798	0.161897
2	5	2.94331	2.78403	20.1169	0.138393	0.872303	0.836142	41.2485	0.0202709
2	6	3.68257	3.463	33.8983	0.102159	4.22065	3.73782	97.4898	0.0383407
2	7	-3.37376	-3.30741	32.4505	-0.101922	-0.914829	-0.556433	77.1888	-0.00720873
2	8	6.3573	6.63381	53.3089	0.124441	5.46617	5.70226	51.8228	0.110034
2	9	1.7958	2.17169	25.4733	0.0852538	0.588821	1.30499	28.6439	0.0455593
3	0	0.906301	1.0227	9.99262	0.102346	2.74522	1.97401	9.99262	0.197547
3	1	0.994815	1.12917	10.8288	0.104275	-0.0275094	-0.187537	11.442	-0.0163902
3	2	1.7073	1.47272	9.2554	0.159121	1.81254	1.1522	8.86625	0.129954
3	3	3.66745	3.60047	9.88525	0.364227	3.24209	3.35035	10.9631	0.305601
3	4	2.56218	2.94032	10.8691	0.270521	1.35242	2.33149	15.5099	0.150323
3	5	1.24361	1.08799	10.8534	0.100245	0.335689	0.197717	18.5802	0.0106413
3	6	2.28974	2.12622	15.4933	0.137234	2.18455	2.75518	48.9596	0.0562746
3	7	2.81744	2.63966	22.8724	0.115408	5.58484	5.05961	38.4136	0.131714
3	8	0.606133	0.767486	11.5024	0.0667237	-0.834751	-0.807447	6.55047	-0.123265
3	9	0.713972	0.657868	5.8188	0.113059	0.81278	1.07451	5.09785	0.210777
4	0	0.110571	-0.117241	7.28739	-0.0160882	1.52226	0.382487	7.28739	0.0524861
4	1	1.50187	1.66264	7.82724	0.212417	0.388431	0.354683	5.25789	0.0674572
4	2	0.724963	0.781967	5.65039	0.138392	0.726521	0.851203	3.20303	0.265749
4	3	2.02544	2.40479	5.89884	0.407671	2.5518	2.27703	7.42592	0.306633
4	4	1.52228	1.44408	7.43859	0.194133	1.36501	0.660213	6.941	0.0951178
4	5	0.171896	0.034511	8.37439	0.00412101	-1.925	-2.28584	11.7912	-0.19386
4	6	-0.342448	-0.203144	10.1943	-0.0199271	2.05038	1.57826	10.2119	0.154551
4	7	2.94204	3.46248	7.66286	0.451852	2.85726	2.67869	6.73693	0.397613
4	8	2.81633	2.85072	7.88122	0.36171	2.57225	2.28722	7.27608	0.314347
4	9	2.99733	2.59915	7.43443	0.34961	2.58397	1.83924	6.9387	0.26507
5	0	1.94097	1.89539	12.4161	0.152656	3.73453	3.31994	12.4161	0.26739
5	1	2.82181	2.70981	12.3761	0.218956	1.58185	1.18446	6.8963	0.171753
5	2	1.24571	1.26579	8.33808	0.151808	1.97017	1.08465	8.86382	0.122368
5	3	1.41174	1.26095	10.5951	0.119013	0.8495	0.495787	12.0219	0.0412403
5	4	1.86636	1.85389	10.8307	0.171169	0.718064	0.959006	9.71392	0.0987249
5	5	-0.842122	-0.78024	8.67731	-0.0899172	-2.05755	-2.14553	10.5023	-0.204292
5	6	0.354462	0.559136	11.94	0.0468289	1.58896	1.847	15.1203	0.122153
5	7	0.4347	0.160104	6.42051	0.0249364	1.2397	1.32072	9.15099	0.144325
5	8	0.1547	0.404856	8.32933	0.0486061	-0.00748941	0.0957881	4.86828	0.019676
5	9	1.13859	0.936819	4.20814	0.22262	0.367749	0.705123	3.80068	0.185525
6	0	-1.30217	-1.16319	9.36852	-0.12416	0.428742	-0.427608	9.36852	-0.0456431
6	1	7.9231	7.718	11.2051	0.688791	7.27528	7.21014	9.96792	0.723335
6	2	-0.513155	-0.114872	18.621	-0.00616898	-2.2882	-2.12684	10.9466	-0.194293
6	3	-4.03151	-4.126	15.9664	-0.258417	-2.12333	-2.75682	17.1518	-0.160731
6	4	-0.655169	-0.323781	15.093	-0.0214524	-2.04751	-2.12409	12.9738	-0.163722
6	5	2.25572	2.25602	14.0736	0.160301	3.85412	3.43903	16.2518	0.211609
6	6	4.07516	3.85162	17.2667	0.223067	1.59005	1.54653	17.6442	0.0876508
6	7	-5.96888	-5.60119	9.64898	-0.580496	-5.17547	-5.22655	23.0703	-0.226548
6	8	0.625276	0.760446	10.6906	0.071132	0.849878	0.9909	4.38987	0.225724
6	9	1.0273	0.731635	7.15935	0.102193	1.03383	0.411141	4.81541	0.0853802
7	0	-0.225128	-0.291269	9.7631	-0.0298337	1.3761	0.50466	9.7631	0.0516905
7	1	3.89531	4.24662	9.32676	0.455316	3.63366	3.46414	5.64398	0.613777
7	2	1.69854	1.64148	8.85083	0.185461	0.646157	0.149361	6.49335	0.0230022
