RUN	Year	DeltaBV	Sel	Var	Beta	DeltaBVRecruits	SelRecruits	VarRecruits	BetaRecruits
1	0	0.013892	-0.00429562	0.867984	-0.00494896	0.114799	0.08657	0.867984	0.0997368
1	1	0.0723258	-0.0256767	0.883074	-0.0290765	-0.0966405	-0.208544	0.787437	-0.264839
1	2	-0.0950674	-0.200026	1.11457	-0.179465	-0.0281861	-0.3112	1.1551	-0.269413
1	3	0.0419046	-0.168968	1.12662	-0.149977	-0.00855088	-0.0442288	1.23704	-0.0357539
1	4	-0.0336161	-0.00622745	1.03935	-0.00599171	-0.0882766	-0.283985	1.29281	-0.219666
1	5	-0.137939	-0.226436	1.00811	-0.224614	0.120588	0.326934	0.741602	0.440849
1	6	0.0997004	0.477835	0.757684	0.630652	-0.0328484	-0.10507	1.32168	-0.0794974
1	7	-0.0400228	0.260643	1.08042	0.241243	-0.0347432	0.284159	1.03727	0.27395
1	8	0.031377	0.0781331	0.941231	0.0830116	0.0462445	0.0993185	0.977891	0.101564
1	9	0.0558165	-0.0633683	0.868486	-0.0729641	0.00361902	-0.121573	0.847799	-0.143398
2	0	-0.0780088	-0.263703	1.13487	-0.232365	-0.134373	-0.344954	1.13487	-0.30396
2	1	-0.0239519	-0.119177	0.97861	-0.121781	0.112723	0.0673103	0.981952	0.0685475
2	2	0.113388	0.0641255	0.948445	0.0676112	0.0836999	-0.0630724	0.963923	-0.065433
2	3	0.105987	0.464829	1.02241	0.454641	0.139275	0.212345	0.800595	0.265234
2	4	0.0524943	-0.0115073	1.07825	-0.0106722	0.111597	0.118533	0.872705	0.135822
2	5	0.159905	-0.0476403	0.873513	-0.0545387	-0.0443712	-0.135795	0.268543	-0.505672
2	6	-0.101807	-0.355945	0.636003	-0.559659	0.0283796	0.00867273	0.63788	0.0135962
2	7	0.0417376	-0.0773384	1.09873	-0.0703892	-0.00845911	-0.392289	1.11505	-0.351813
2	8	-0.0333689	0.0299524	0.834272	0.0359024	-0.149892	-0.0724057	0.654413	-0.110642
2	9	-0.116716	-0.181636	0.870386	-0.208684	-0.0891656	0.20228	0.78217	0.258614
3	0	0.0201401	0.0629836	0.874927	0.0719872	0.0427669	0.0274281	0.874927	0.031349
3	1	0.0152969	0.034455	0.912372	0.0377643	0.00772016	0.137521	0.826585	0.166373
3	2	0.0427086	-0.032943	0.862494	-0.0381951	0.0858884	0.050029	0.736934	0.0678881
3	3	0.0578759	-0.300663	0.911641	-0.329804	-0.0760863	-0.342086	1.14676	-0.298306
3	4	-0.083007	-0.454249	0.970507	-0.468053	0.0730535	-0.0425338	0.834254	-0.0509842
3	5	0.0969282	0.347024	0.89037	0.389753	0.0181192	0.273689	0.809176	0.338231
3	6	-0.0749211	-0.355146	0.94848	-0.374437	-0.287518	-0.163891	0.766986	-0.213682
3	7	-0.183698	-0.303461	0.889171	-0.341285	0.106238	0	0.714588	0
3	8	0.0487621	0.339795	1.13234	0.300082	0.0634584	0.0272157	0.666879	0.0408105
3	9	0.0409857	0.0767949	1.00298	0.076567	0.0622897	-0.0906871	0.875387	-0.103597
4	0	0.0243165	0.0607717	0.996777	0.0609682	-0.0111599	5.86566e-05	0.996777	5.88463e-05
4	1	-0.035424	0.0330227	0.981554	0.0336432	-0.0789175	0.0894904	0.905206	0.0988619
4	2	-0.0821745	-0.292765	0.914761	-0.320045	-0.0396992	-0.110964	0.687255	-0.161459
4	3	-0.025998	-0.0679517	0.998051	-0.0680844	0.0569374	-0.110509	1.13079	-0.0977273
4	4	0.0515107	-0.0440248	1.03273	-0.0426296	0.146246	-0.165627	0.721652	-0.229511
4	5	0.165141	-0.134195	0.92444	-0.145163	0.00196511	-0.1828	0.773342	-0.236377
4	6	-0.125686	-0.328805	0.757495	-0.434069	0.0565536	-0.0448076	1.28103	-0.0349779
4	7	0.231752	0.477541	1.07554	0.443999	0.0389892	0.0559039	0.958605	0.058318
4	8	-0.0668526	-0.253221	0.823144	-0.307627	0.010822	0.248503	0.906247	0.274211
4	9	0.064419	0.283764	1.06922	0.265394	-0.0884482	-0.17482	1.13844	-0.153561
5	0	0.0146556	-0.0477871	0.703948	-0.0678845	0.0336849	0.00695865	0.703948	0.00988518
5	1	0.00419274	0.118264	0.889017	0.133028	0.00211566	-0.0163109	0.780772	-0.0208907
5	2	2.05351e-05	-0.242023	0.88208	-0.274377	-0.0267131	0.00309385	0.775453	0.00398973
5	3	0.00737994	0.2392	1.14557	0.208804	0.0803191	-0.021824	0.911512	-0.0239427
5	4	0.0732418	-0.0645287	0.832349	-0.0775259	-0.110235	0.0635638	0.712285	0.0892393
5	5	-0.166721	-0.18554	0.84419	-0.219785	-0.155873	0.16246	0.766647	0.21191
5	6	-0.0927474	-0.410043	0.788156	-0.520256	0.0149863	0.231483	0.649942	0.35616
5	7	-0.014276	0.25873	0.799112	0.323772	-0.0456446	0.347331	0.752904	0.461322
5	8	0.00677569	0.00159604	0.861317	0.00185302	-0.0729853	-0.0758535	0.851309	-0.0891022
5	9	-0.166256	-0.445204	1.0378	-0.428987	0.0493922	-0.159599	1.15794	-0.13783
6	0	0.0145814	-0.0172515	0.802783	-0.0214896	0.000114677	-0.179568	0.802783	-0.223682
6	1	-0.0374243	-0.157394	0.95026	-0.165632	-0.0418577	-0.0575003	0.731271	-0.0786306
6	2	-0.038578	-0.598798	1.15774	-0.517213	0.0378443	-0.0332194	1.73112	-0.0191895
6	3	0.126495	-0.175735	1.19112	-0.147537	0.236973	0.166632	1.03619	0.160813
6	4	0.194873	0.359839	0.731061	0.492214	0.0301019	-0.0388468	0.740413	-0.0524664
6	5	0.0261433	-0.0521031	0.906832	-0.0574562	0.0930919	-0.0437434	1.07835	-0.0405651
6	6	0.03647	0.308671	1.11182	0.277627	0.000716894	0.123635	1.09571	0.112836
6	7	0.0394816	0.0390863	0.820116	0.0476595	0.0109987	-0.115633	0.549376	-0.210481
6	8	-0.0032215	-0.255923	0.800019	-0.319897	-0.0437934	-0.102336	0.837108	-0.122249
6	9	-0.0731286	-0.164003	0.829693	-0.197667	0.0276145	-0.110446	0.826254	-0.133671
7	0	-0.0432341	0.00464978	0.919764	0.0050554	-0.108714	-0.0210677	0.919764	-0.0229056
7	1	-0.0869147	-0.132257	1.00573	-0.131503	0.0817294	-0.245149	1.18269	-0.207281
7	2	0.092681	0.00779085	1.01122	0.00770444	-0.143273	-0.100416	0.700892	-0.143269
7	3	-0.0512694	-0.40994	1.05755	-0.387632	0.0254077	0.228765	1.112	0.205725
7	4	-0.0756159	-0.14352	0.938033	-0.153001	0.0644619	0.0386372	0.716557	0.0539206
7	5	0.0702512	-0.0246856	0.918876	-0.026865	-0.0383648	0.0873743	0.88899	0.0982849
7	6	-0.0160535	0.250717	0.917251	0.273335	-0.0514867	0.213848	1.28807	0.166022
7	7	-0.116467	-0.334887	0.938992	-0.356645	-0.0922636	0.302993	0.882273	0.343424
7	8	-0.332452	-0.582648	0.891355	-0.653665	-0.238326	-0.47994	1.27781	-0.375596
7	9	0.0344351	0.302337	0.802439	0.376773	0.228044	0.286661	0.310574	0.923004
8	0	0.0181197	0.110411	1.18213	0.0934001	0.144268	0.251866	1.18213	0.213061
8	1	0.0887361	0.32877	1.06383	0.309045	0.0585627	0.287164	1.07756	0.266494
8	2	0.0911252	0.312312	1.0911	0.286236	-0.0152647	0.315069	1.45277	0.216875
8	3	-0.023426	0.00423806	1.0613	0.00399326	-0.12067	-0.101184	0.913251	-0.110796
8	4	-0.145304	-0.112013	0.905298	-0.12373	-0.059963	-0.0112061	1.41469	-0.00792124
8	5	-0.0597258	-0.111812	1.04006	-0.107505	0.0240387	0.461904	1.11228	0.415276
8	6	0.0671549	0.886963	1.0245	0.865748	0.0174309	0.195671	1.06965	0.18293
8	7	-0.00118893	-0.107055	1.31689	-0.0812937	0.100288	-0.209562	1.37191	-0.152752
8	8	-0.0286609	0.232511	1.47675	0.157447	-0.147502	-0.139919	1.08085	-0.129453
8	9	-0.0411767	-0.095393	0.905192	-0.105384	-0.199531	-0.0279667	0.848862	-0.0329461
