RUN	Year	DeltaBV	Sel	Var	Beta	DeltaBVRecruits	SelRecruits	VarRecruits	BetaRecruits
1	0	0.0603883	0.113514	0.778263	0.145855	0.162158	0.220201	0.778263	0.282939
1	1	0.103675	0.135982	0.830686	0.163699	0.160294	0.0716525	0.879839	0.0814382
1	2	0.42128	0.984457	1.19298	0.825205	0.434799	0.653879	1.42928	0.457488
1	3	0.358907	0.389639	1.27718	0.305076	0.296162	0.472067	0.819749	0.575868
1	4	0.187492	0.365957	1.13503	0.32242	-0.102745	0.0240298	0.914683	0.0262712
1	5	-0.232544	0.0146647	1.04204	0.014073	-0.108133	0.109337	1.26847	0.0861959
1	6	-0.078554	-0.024759	1.25642	-0.019706	-0.0258958	0.508825	0.898975	0.566005
1	7	-0.177226	-0.302827	0.969552	-0.312337	0.0480903	-0.457045	1.22253	-0.373853
1	8	0.310858	0.439603	0.8643	0.508624	0.139977	0.163701	0.739561	0.221348
1	9	0.073212	0.352225	0.744618	0.473028	0.0363545	0.129429	0.590573	0.219158
2	0	-0.114058	-0.147852	0.95119	-0.155439	0.058064	-0.126609	0.95119	-0.133106
2	1	0.283886	0.425455	0.952793	0.446535	0.24736	0.317055	0.782732	0.405062
2	2	0.361534	0.610344	0.855259	0.713636	0.51066	0.794895	1.00569	0.790397
2	3	0.441976	0.818672	0.880438	0.929847	0.124908	0.342347	0.866474	0.395104
2	4	0.0264384	0.406224	0.890526	0.456162	0.108076	0.336681	1.03021	0.326808
2	5	0.189097	0.197113	1.02072	0.193112	-0.0220771	0.15714	1.22187	0.128606
2	6	0.0900107	0.434389	1.1453	0.379281	0.247918	0.581068	1.77119	0.328067
2	7	-0.254404	-0.556714	1.11458	-0.499485	-0.108458	-0.126892	0.822014	-0.154367
2	8	0.368472	0.776743	1.02573	0.75726	0.17132	0.355684	0.941384	0.377831
2	9	0.0808045	0.432465	1.29379	0.334262	0.171735	0.402373	1.35852	0.296185
3	0	0.0341229	0.122626	0.857526	0.142999	0.0415338	0.202618	0.857526	0.236282
3	1	-0.0841359	-0.0724581	0.865576	-0.0837108	-0.117331	-0.139194	0.950553	-0.146434
3	2	-0.00735682	-0.0319274	0.972335	-0.0328358	0.180201	0.0362474	0.784303	0.0462161
3	3	0.208898	0.508684	0.981055	0.518507	0.0812999	0.209256	0.795434	0.263071
3	4	0.165688	0.513618	0.839015	0.612168	0.0129451	0.593605	0.772357	0.768562
3	5	-0.0427813	-0.0478129	0.787761	-0.0606947	-0.192398	0.0513022	0.499031	0.102804
3	6	-0.139698	-0.054573	0.587112	-0.0929516	-0.0531167	0.226618	0.810746	0.279518
3	7	-0.0945317	0.331809	1.0417	0.318527	0.108421	0.657001	1.38592	0.474054
3	8	-0.0168338	-0.120511	0.955476	-0.126127	0.0922282	0.0505369	0.744378	0.0678915
3	9	0.180442	0.503637	0.778491	0.64694	-0.0370093	0.292943	0.692622	0.422948
4	0	0.00690666	-0.142856	1.18781	-0.120268	0.162848	0.076087	1.18781	0.0640563
4	1	0.0973154	0.358583	1.00396	0.357168	-0.0370586	0.0831344	0.882212	0.094234
4	2	0.115606	0.365441	0.960726	0.38038	0.1161	0.247052	1.26424	0.195415
4	3	-0.039192	0.167245	1.05037	0.159225	0.00432179	0.0940535	0.683075	0.137691
4	4	0.0451329	0.237053	0.74663	0.317497	0.0180958	0.127347	0.553361	0.230134
4	5	0.0885894	-0.0659443	0.729602	-0.0903839	0.141848	-0.261714	0.818465	-0.319762
4	6	0.0288058	-0.170349	0.928435	-0.183479	0.135967	0.283821	0.607968	0.466836
4	7	0.25235	1.3554	0.726696	1.86516	0.183332	0.961429	0.999707	0.961711
4	8	0.368587	0.773504	1.06287	0.727752	0.283151	0.651827	1.0615	0.614064
4	9	0.294716	0.862947	1.21669	0.709258	0.14461	0.492562	1.25281	0.393167
5	0	0.0850814	0.0660576	0.879561	0.0751029	0.276082	0.0710841	0.879561	0.0808177
5	1	0.269877	0.404719	0.951939	0.425152	0.108852	0.164526	1.10666	0.148668
5	2	0.0679554	0.153866	0.917854	0.167637	0.0946926	-0.0517317	0.966133	-0.0535452
5	3	-0.0296426	0.188672	0.970464	0.194415	-0.0248179	-0.092	0.699368	-0.131547
5	4	0.164717	0.261766	1.10073	0.237812	0.0827677	0.332429	1.30208	0.255307
5	5	-0.0377473	-0.0117035	1.01309	-0.0115522	-0.0791186	-0.401148	0.929269	-0.431682
5	6	-0.129356	0.194713	0.805723	0.241662	-0.164351	0.431972	0.933955	0.462519
5	7	0.0329664	-0.0571908	0.68378	-0.0836392	0.128658	0.21512	0.394405	0.54543
5	8	0.0092693	-0.0616988	0.791471	-0.0779547	0.139378	0.043469	0.679768	0.0639469
5	9	0.18689	0.349051	0.703765	0.495976	-0.0658975	0.0975422	0.544918	0.179004
6	0	-0.0633834	-0.0587573	0.904648	-0.0649505	-0.0618502	0.0797846	0.904648	0.0881942
6	1	0.603669	1.2026	0.849687	1.41535	0.638742	1.29753	1.04147	1.24587
6	2	-0.0606164	-0.00427771	1.22032	-0.0035054	-0.196903	-0.191243	1.05695	-0.18094
6	3	-0.196858	-0.177568	1.01592	-0.174785	-0.11024	-0.147939	0.90737	-0.163042
6	4	-0.0286479	0.136156	1.14002	0.119433	0.0846122	0.0197248	0.823361	0.0239565
6	5	0.282659	0.296339	0.960135	0.308643	0.135699	0.235204	1.04716	0.224611
6	6	0.0872015	0.339502	1.16708	0.290899	-0.0157324	0.350338	1.26013	0.278017
6	7	-0.161916	-0.725436	1.02671	-0.706565	-0.0398134	-0.440661	0.593929	-0.741943
6	8	0.0524673	0.240461	0.856556	0.28073	-0.0888792	0.0436343	0.735386	0.0593352
6	9	-0.0865903	0.119562	0.703276	0.170007	0.0771414	0.0928384	0.765552	0.12127
7	0	-0.00960374	-0.113714	1.09189	-0.104144	0.00608505	-0.0560324	1.09189	-0.0513167
7	1	0.0909562	0.584769	1.06669	0.548211	0.205842	0.422446	0.835252	0.505771
7	2	0.173265	0.176083	1.01551	0.173393	0.12591	0.0503078	1.20699	0.0416805
7	3	0.01482	-0.120211	1.14288	-0.105183	-0.0727152	-0.170793	0.737353	-0.23163
7	4	-0.0230961	0.0664105	0.782323	0.084889	-0.149561	-0.0671198	0.608698	-0.110268
7	5	-0.0713811	0.119294	0.686998	0.173646	0.117236	0.121344	0.655564	0.185098
7	6	0.129607	0.494891	1.07018	0.462439	-0.0947901	0.0823221	1.93688	0.0425023
7	7	0.0838809	0.242935	1.01865	0.238487	0.324262	0.682921	1.33304	0.512302
7	8	0.0965073	0.247421	0.757084	0.326808	0.169454	0.226308	0.510493	0.443313
7	9	0.0664025	0.0611338	0.696022	0.0878332	0.03518	-0.28695	0.683794	-0.419643
8	0	-0.0849818	0.0181084	0.906678	0.0199722	0.0469944	0.0644144	0.906678	0.0710444
8	1	0.280141	0.640411	1.0087	0.63489	0.223323	0.500768	0.781069	0.641131
8	2	0.0798582	0.367698	0.834731	0.440499	0.0566	0.26425	0.729093	0.362437
8	3	0.221457	0.144634	0.855991	0.168967	0.29856	0.355914	1.092	0.325929
8	4	0.289648	0.405512	1.02937	0.39394	0.344485	0.622175	0.937853	0.663403
8	5	0.262591	0.516799	0.814133	0.634785	0.0950377	-0.0383447	0.518678	-0.0739278
8	6	0.296957	0.465019	0.652942	0.71219	0.102481	0.581507	0.774441	0.750874
8	7	0.122625	0.0830117	0.933866	0.0888904	0.343078	0.81847	0.796526	1.02755
8	8	0.187721	0.240306	0.844753	0.28447	0.217876	-0.0410641	1.00875	-0.0407079
8	9	0.154045	0.18614	1.1148	0.166972	0.00514781	0.239031	1.54063	0.155152
9	0	0.102398	0.300955	0.839114	0.358658	0.30679	0.400675	0.839114	0.477498
9	1	0.315646	0.563939	1.00129	0.56321	0.102123	0.353992	0.897543	0.394401
9	2	0.186744	0.619154	0.913742	0.677603	0.472337	0.826566	0.923428	0.895106
9	3	0.343078	0.7309	1.21003	0.604034	0.207576	0.328441	0.826782	0.397252
9	4	0.0105412	-0.132505	0.909334	-0.145717	-0.216115	-0.137985	1.07127	-0.128805
9	5	-0.0411763	0.330281	0.98896	0.333968	-0.154339	-0.112741	0.54606	-0.206462
9	6	0.0407892	-0.413686	0.944757	-0.437876	0.214283	0.457223	0.877523	0.521039
9	7	0.0490188	0.281692	0.972218	0.289741	0.253296	-0.0268373	1.25166	-0.0214414
9	8	0.260221	0.51156	0.780405	0.655505	0.137854	0.127799	0.49871	0.25626
9	9	0.0805972	0.645472	0.896573	0.719933	-0.0573673	0.347053	0.972228	0.356967
10	0	0.0282647	0.0625693	0.953793	0.0656005	0.127103	0.197546	0.953793	0.207116
10	1	0.158516	0.466712	0.89447	0.521775	0.142433	0.355351	0.707852	0.502013
