RUN	Year	DeltaBV	Sel	Var	Beta	DeltaBVRecruits	SelRecruits	VarRecruits	BetaRecruits
1	0	0	0.120201	0.956386	0.125682	0	0.182125	0.956386	0.190431
1	1	0	0.295832	0.925634	0.319599	0	-0.0598763	0.829766	-0.0721605
1	2	0	0.391849	1.11805	0.350476	0	0.322635	0.951841	0.338959
1	3	0	0.582557	1.00669	0.578685	0	0.433566	0.944331	0.459125
1	4	0	0.189299	0.956494	0.197909	0	0.297312	0.855601	0.347489
1	5	0	0.249098	0.836528	0.297776	0	0.065876	0.857808	0.0767957
1	6	0	0.0959816	1.04122	0.0921817	0	0.749428	1.16024	0.645926
1	7	0	0.114036	0.968484	0.117746	0	-0.412364	0.899736	-0.458316
1	8	0	0.456705	1.09468	0.417203	0	0.193891	0.841224	0.230487
1	9	0	0.632361	0.838736	0.753945	0	0.383111	0.782816	0.489401
2	0	0	-0.0991843	0.832	-0.119212	0	-0.30325	0.832	-0.364483
2	1	0	0.401167	0.917176	0.437394	0	0.310771	0.793513	0.391639
2	2	0	0.25673	0.878952	0.292087	0	0.645977	0.612742	1.05424
2	3	0	0.656496	0.855169	0.767679	0	0.482608	1.12973	0.42719
2	4	0	0.444376	1.09084	0.40737	0	0.454871	0.89274	0.509522
2	5	0	0.355974	0.993458	0.358318	0	0.375635	1.14362	0.328462
2	6	0	0.688109	1.37712	0.499674	0	0.505525	1.01671	0.497217
2	7	0	-0.478604	0.950253	-0.50366	0	0.0848365	0.218405	0.388436
2	8	0	0.507025	0.739953	0.685212	0	0.556479	0.769853	0.722838
2	9	0	0.477495	1.12099	0.42596	0	0.0188924	0.792232	0.0238471
3	0	0	0.115469	0.796355	0.144997	0	0.226006	0.796355	0.2838
3	1	0	0.104213	0.940008	0.110864	0	-0.17932	0.95026	-0.188706
3	2	0	0.0249579	0.925696	0.0269612	0	0.166533	0.778181	0.214003
3	3	0	0.41964	0.890588	0.471194	0	0.175955	0.910996	0.193146
3	4	0	0.283868	0.887343	0.319908	0	0.490433	0.805834	0.608603
3	5	0	0.151614	0.818339	0.18527	0	0.280773	0.403245	0.696285
3	6	0	0.11989	0.620431	0.193236	0	-0.0563669	0.42789	-0.131732
3	7	0	0.661865	0.984146	0.672528	0	0.79742	1.14671	0.695401
3	8	0	-0.0104407	0.863892	-0.0120857	0	-0.0070992	1.1255	-0.0063076
3	9	0	0.470294	0.9911	0.474517	0	0.506552	1.36875	0.370083
4	0	0	-0.150637	1.28215	-0.117488	0	-0.111754	1.28215	-0.0871616
4	1	0	0.164849	1.04526	0.157711	0	0.0291071	0.894239	0.0325496
4	2	0	0.268805	0.965154	0.27851	0	0.345367	1.05176	0.328371
4	3	0	0.622676	1.01692	0.612314	0	0.354595	1.2283	0.288688
4	4	0	0.0750008	0.931581	0.0805091	0	0.170169	0.828448	0.205406
4	5	0	0.202153	0.903711	0.223692	0	0.0142786	0.939799	0.0151932
4	6	0	0.520856	0.977176	0.533022	0	0.39602	1.31278	0.301665
4	7	0	1.34563	0.922971	1.45793	0	0.992733	1.20763	0.822049
4	8	0	0.588325	1.02623	0.57329	0	0.436741	0.632947	0.690011
4	9	0	0.87	1.07756	0.807379	0	0.664864	1.32902	0.500265
5	0	0	0.0940752	1.09853	0.0856373	0	0.0850093	1.09853	0.0773846
5	1	0	0.247126	0.984058	0.251129	0	0.429755	0.830932	0.517196
5	2	0	0.272502	0.859915	0.316894	0	-0.120534	1.07916	-0.111692
5	3	0	0.258055	1.01713	0.25371	0	0.166629	0.971622	0.171496
5	4	0	0.0618147	0.99202	0.062312	0	0.0954838	1.11776	0.085424
5	5	0	-0.117663	0.868254	-0.135516	0	-0.348731	1.1697	-0.298138
5	6	0	0.665097	1.27145	0.523099	0	0.614525	2.11079	0.291136
5	7	0	-0.0470446	1.10085	-0.0427349	0	-0.0226499	0.991013	-0.0228553
5	8	0	-0.14121	0.98299	-0.143654	0	-0.223281	0.730187	-0.305786
5	9	0	0.130324	0.788703	0.165238	0	0.293318	0.864552	0.339271
6	0	0	-0.0755518	0.907384	-0.0832633	0	-0.000840987	0.907384	-0.000926826
6	1	0	0.844072	0.843474	1.00071	0	0.710374	0.731072	0.971689
6	2	0	-0.011563	1.08254	-0.0106814	0	-0.198144	0.965183	-0.205291
6	3	0	-0.0555029	0.915662	-0.0606151	0	-0.00476493	0.500444	-0.00952141
6	4	0	0.00450028	0.661397	0.0068042	0	-0.119296	0.592842	-0.201227
6	5	0	0.0854098	0.9453	0.0903521	0	0.260823	0.857304	0.304237
6	6	0	0.510438	1.34003	0.380915	0	1.26213	2.17172	0.581166
6	7	0	-0.283654	1.2192	-0.232656	0	-0.503314	1.72915	-0.291076
6	8	0	0.175612	0.882033	0.199099	0	0.120417	0.525931	0.22896
6	9	0	-0.00962796	0.768297	-0.0125316	0	-0.0598887	0.760249	-0.0787751
7	0	0	-0.103461	1.27747	-0.0809885	0	-0.107288	1.27747	-0.0839847
7	1	0	0.77628	1.18114	0.65723	0	0.418608	1.23218	0.339731
7	2	0	-0.0302069	1.12775	-0.0267851	0	-0.0682778	1.0829	-0.0630508
7	3	0	-0.173664	1.20271	-0.144394	0	-0.395734	0.774977	-0.510639
7	4	0	-0.00708899	0.904508	-0.0078374	0	0.205972	0.956663	0.215303
7	5	0	0.321769	0.859823	0.374227	0	-0.108165	0.786237	-0.137574
7	6	0	-0.0669584	1.10571	-0.0605568	0	0.021435	1.84678	0.0116067
7	7	0	0.159276	1.09434	0.145545	0	0.320898	1.06476	0.301381
7	8	0	0.220858	0.920619	0.239901	0	0.225465	0.571097	0.394792
7	9	0	0.0150957	0.840154	0.0179677	0	-0.437116	0.687579	-0.635731
8	0	0	0.0626375	1.00179	0.0625255	0	0.113178	1.00179	0.112975
8	1	0	0.545824	1.02475	0.532644	0	0.567104	0.817524	0.693685
8	2	0	0.332427	0.971149	0.342303	0	0.419904	1.02516	0.409599
8	3	0	-0.0899703	1.06923	-0.0841451	0	0.246502	0.882555	0.279305
8	4	0	0.51815	1.00108	0.517588	0	0.698556	1.14649	0.609299
8	5	0	0.211912	0.984242	0.215305	0	0.016221	0.726634	0.0223235
8	6	0	0.663522	1.03067	0.64378	0	0.484373	1.14239	0.424002
8	7	0	0.140351	1.08941	0.128832	0	0.554404	1.15052	0.481872
8	8	0	0.30354	1.04811	0.289606	0	0.0299222	1.02096	0.0293079
8	9	0	0.342755	1.38707	0.247108	0	0.726227	1.47839	0.491228
9	0	0	0.24554	0.713754	0.344012	0	0.25653	0.713754	0.359409
9	1	0	0.296717	0.90218	0.328889	0	0.331527	0.844043	0.392784
9	2	0	0.554321	0.976248	0.567807	0	0.749282	1.21064	0.618915
9	3	0	1.13152	1.1625	0.973352	0	0.644548	0.817729	0.788218
9	4	0	-0.124711	0.96784	-0.128855	0	-0.065475	0.851525	-0.0768914
9	5	0	0.645239	0.921423	0.700264	0	0.0712098	0.831948	0.085594
9	6	0	-0.56515	1.17202	-0.482201	0	0.275146	0.56352	0.488263
9	7	0	0.367424	0.954939	0.384762	0	-0.221027	1.11099	-0.198946
