ID Year Sex Age Mass BL BMI RelativeJulian Phi Rho Fitness StMass Mother A animal M2006 M2007 M2008 M2009 M2010 M2011 M2012 M2013 M2014 M2015 M2016 A2006 A2007 A2008 A2009 A2010 A2011 A2012 A2013 A2014 A2015 A2016 A1 A2 BL1 BL2 BMI1 BMI2 BMIPhi1 BMIPhi2 BMIRho1 BMIRho2 RJst RJ2st Ast BLst BMIst FitnessYear OS PhiZ RhoZ FitnessZ
CN06-001 2006 Female A 33.0057707770208 NA 305.98596112907 13.3333333333333 0 0 0 0.23100287119792 NA 33.0057707770208 CN06-001 33.0057707770208 NA NA NA NA NA NA NA NA NA NA 33.0057707770208 NA NA NA NA NA NA NA NA NA NA 33.0057707770208 NA NA NA 305.98596112907 NA NA 305.98596112907 305.98596112907 NA -2.12941307286731 -1.45805756284344 -1.59595568329285 NA 0.317151433930886 0 NA 0 0 0
CN06-002 2006 Male A 37.6073314548169 NA 330.129285653094 33.4 0 4 4 0.776543597947639 NA 37.6073314548169 CN06-002 37.6073314548169 NA NA NA NA NA NA NA NA NA NA 37.6073314548169 NA NA NA NA NA NA NA NA NA NA 37.6073314548169 NA NA NA 330.129285653094 NA NA 330.129285653094 330.129285653094 NA -1.50391016914619 -1.27615459249048 -0.30418297185292 NA 0.756288006646179 2.47297297297297 40.4140670252857 0 0 0
CN06-003 2006 Female A 30 NA 281.620482574379 0 0 0 0 -0.125348047317918 CN06-013 30 CN06-003 30 NA NA NA NA NA NA NA NA NA NA 30 NA NA NA NA NA NA NA NA NA NA 30 NA NA NA 281.620482574379 NA NA 281.620482574379 281.620482574379 NA -2.54502962019031 -1.49254137483541 -2.43975041696541 NA -0.126025839954025 0 NA 0 0 0
CN06-004 2006 Female A 46.8775517354271 NA 325.055835497092 72 0 2 2 1.87558000388202 NA 46.8775517354271 CN06-004 46.8775517354271 NA NA NA NA NA NA NA NA NA NA 46.8775517354271 NA NA NA NA NA NA NA NA NA NA 46.8775517354271 NA NA NA 325.055835497092 NA NA 325.055835497092 325.055835497092 NA -0.300700264646103 -0.48699341714949 2.29819879077647 NA 0.664008357622212 1.23648648648649 36.6478267624671 0 0 0
CN06-005 2006 Male A 47.1562870235268 NA 411.331498845141 54.3636363636364 0 5 5 1.90862562954864 NA 47.1562870235268 CN06-005 47.1562870235268 NA NA NA NA NA NA NA NA NA NA 47.1562870235268 NA NA NA NA NA NA NA NA NA NA 47.1562870235268 NA NA NA 411.331498845141 NA NA 411.331498845141 411.331498845141 NA -0.850447606786981 -0.919277211962496 2.37644672970292 NA 2.23325368146742 3.09121621621622 38.371736204899 0 0 0
CN06-006 2006 Male A 37.6804557631538 NA 355.499238738186 11 0 2 2 0.785212893238177 NA 37.6804557631538 CN06-006 37.6804557631538 NA NA NA NA NA NA NA NA NA NA 37.6804557631538 NA NA NA NA NA NA NA NA NA NA 37.6804557631538 NA NA NA 355.499238738186 NA NA 355.499238738186 355.499238738186 NA -2.20214596864883 -1.46907083029838 -0.283655156907824 NA 1.21773540328163 1.23648648648649 37.1749700744058 0 0 0
CN06-007 2006 Female A 37.006533190244 NA 313.245021020462 83.75 1 1 3 0.705315607090835 NA 37.006533190244 CN06-007 37.006533190244 NA NA NA NA NA NA NA NA NA NA 37.006533190244 NA NA NA NA NA NA NA NA NA NA 37.006533190244 NA NA NA 313.245021020462 NA NA 313.245021020462 313.245021020462 NA 0.0655618176822918 -0.132013554241968 -0.472842011165534 NA 0.449184562950415 1.85472972972973 34.4512221250762 1 6 8
CN06-007 2007 Female A 47.6785061186331 0.116 399.807866059006 47.4285714285714 0 6 6 1.97053762085229 NA 47.6785061186331 CN06-007 NA 47.6785061186331 NA NA NA NA NA NA NA NA NA NA 47.6785061186331 NA NA NA NA NA NA NA NA NA 47.6785061186331 NA 0.116 NA 399.807866059006 NA 399.807866059006 NA 399.807866059006 NA -1.06662218756992 -1.05620855293454 2.52304663866562 0.855599239699853 2.02365335894774 3.86 38.2041772098257 0 0 0
CN06-010 2006 Male A 51.0086561655318 NA 447.492981240625 20 0 0 0 2.36534551408229 NA 51.0086561655318 CN06-010 51.0086561655318 NA NA NA NA NA NA NA NA NA NA 51.0086561655318 NA NA NA NA NA NA NA NA NA NA 51.0086561655318 NA NA NA 447.492981240625 NA NA 447.492981240625 447.492981240625 NA -1.92160479920581 -1.41495279785347 3.45790271398404 NA 2.89098536326861 0 NA 0 0 0
CN06-011 2006 Female A 33.1416846293582 NA 271.166239844706 68 0 3 3 0.247116217727774 CN06-013 33.1416846293582 CN06-011 33.1416846293582 NA NA NA NA NA NA NA NA NA NA 33.1416846293582 NA NA NA NA NA NA NA NA NA NA 33.1416846293582 NA NA NA 271.166239844706 NA NA 271.166239844706 271.166239844706 NA -0.425385228843003 -0.595617424924204 -1.5578012792005 NA -0.316175308312218 1.85472972972973 39.3956588663021 0 0 0
CN06-012 2006 Female A 39.5086561655318 NA 359.271692240715 20 0 1 1 1.00195626488814 NA 39.5086561655318 CN06-012 39.5086561655318 NA NA NA NA NA NA NA NA NA NA 39.5086561655318 NA NA NA NA NA NA NA NA NA NA 39.5086561655318 NA NA NA 359.271692240715 NA NA 359.271692240715 359.271692240715 NA -1.92160479920581 -1.41495279785347 0.229566238222506 NA 1.28635156673417 0.618243243243243 41.272525036588 0 0 0
CN06-013 2006 Female A 37.5086561655318 NA 324.171881564379 20 0 0 0 0.764845091115244 NA 37.5086561655318 CN06-013 37.5086561655318 NA NA NA NA NA NA NA NA NA NA 37.5086561655318 NA NA NA NA NA NA NA NA NA NA 37.5086561655318 NA NA NA 324.171881564379 NA NA 324.171881564379 324.171881564379 NA -1.92160479920581 -1.41495279785347 -0.331883583649065 NA 0.647930352289371 0 NA 0 0 0
CN06-014 2006 Female A 37.5094479719955 NA 357.641811535919 31 0 2 2 0.764938964195257 NA 37.5094479719955 CN06-014 37.5094479719955 NA NA NA NA NA NA NA NA NA NA 37.5094479719955 NA NA NA NA NA NA NA NA NA NA 37.5094479719955 NA NA NA 357.641811535919 NA NA 357.641811535919 357.641811535919 NA -1.57872114766433 -1.30613481863631 -0.331661303850044 NA 1.25670609574998 1.23648648648649 38.1771330011125 0 0 0
CN06-015 2006 Male A 43.4181508703283 NA 378.801160287142 59.6666666666667 0 5 5 1.46544870404475 NA 43.4181508703283 CN06-015 43.4181508703283 NA NA NA NA NA NA NA NA NA NA 43.4181508703283 NA NA NA NA NA NA NA NA NA NA 43.4181508703283 NA NA NA 378.801160287142 NA NA 378.801160287142 378.801160287142 NA -0.685145570919879 -0.801981487313665 1.32705879103044 NA 1.64156791882882 3.09121621621622 39.3198423187307 0 0 0
